번호,제목,담당부서,등록일,조회수,URL
5233,송파 창의혁신 공공주택 건설사업 안전점검 수행기관 지정 공고,건설사업부,2025-11-10,280,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=295930
5232,2025년 빈집활용 건축디자인 공모전 수상작 발표,빈집사업부,2025-11-10,439,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=295893
5231,제4차 장기전세주택2(2025.4.11.공고) 예비 2차 입주대상자 발표,미리내집공급부,2025-11-07,11152,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=295823
5230,공익성 추가협의를 위한 열람공고(수서역세권 공공주택지구 훼손지 복구사업),용지보상부,2025-11-07,498,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=295816
5229,수용재결 신청서류 열람 공고(수서역세권 공공주택지구 훼손지 복구사업),용지보상부,2025-11-06,389,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=295818
5228,이문아이파크자이[이문3] 주택공개 안내문 게시,동대문주거안심종합센터,2025-11-06,2646,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=295704
5227,유벤투스240 입주 안내문 게시(사용승인서 포함),관악주거안심종합센터,2025-11-05,1117,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=295754
5226,면목 행정문화중심 복합타운 중간 및 실시 설계용역 관련 질의답변서 게시,공공설계부,2025-11-05,324,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=295756
5225,2025년 기존주택 전세임대 입주자 모집공고(2025. 2. 5.) 예비1차 입주대상자 발표,전세주택공급부,2025-10-31,28423,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=295581
5224,서울주택도시개발공사 법률고문 공개모집 공고,송무부,2025-10-31,932,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=295570
5223,2025-1차 희망하우징(공공기숙사) 입주자 모집공고(2025. 4. 11.) 예비1차 공급대상자 발표,맞춤주택공급부,2025-10-31,7339,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=295426
5222,2025년 임차인대표회의 구성지원 활성화 교육 안내(25. 11. 30.(일))(수정),주택관리부,2025-10-31,1684,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=295540
5221,"[토지지원 사회주택] 경성리츠(미아동 321-4, 374-11) 입주자 모집 공고",공공개발금융부,2025-10-31,29827,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=291121
5220,2025년 창동 아우르네빌리지 예비2차 당첨자 발표,공공주택공급부,2025-10-30,3243,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=295469
5219,[청년형] 특화형 매입임대주택(서초구) 입주자 모집 공고(운영기관 : 마을과집 협동조합),매입주택공급부,2025-10-30,3118,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=295223
5218,『천왕역 모아엘가 트레뷰』 장기전세주택 입주안내문(추가 1차),구로주거안심종합센터,2025-10-30,43,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=295521
5217,[토지지원 사회주택] 유니버설디자인하우스 창동 입주자 모집공고,공공개발금융부,2025-10-30,6684,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=292022
5216,[당첨자공고] 다자녀 매입임대 최초 입주자 모집공고(2024.11.22.) 예비4차 입주대상자 발표,매입주택공급부,2025-10-29,3304,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=295359
5215,[청년형] 특화형 매입임대주택(금천구) 입주자 모집 공고(운영기관 : 한지붕 협동조합),매입주택공급부,2025-10-29,9985,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=295222
5214,[토지지원 사회주택] 유니버설디자인하우스 화곡 입주자 모집공고,공공개발금융부,2025-10-29,6725,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=291885
5213,「개포(구룡마을) 도시개발구역 이주촉진 및 관리용역」 서면질의에 대한 회신 공지,수탁보상부,2025-10-28,872,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=295449
5212,행복주택 예비당첨자 게시,공공주택공급부,2025-10-28,6918,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=295396
5211,[서류심사대상자] 2025년 하반기 신혼·신생아 매입임대주택 Ⅰ 입주대기자 모집공고(2025. 9. 30.) 서류심사대상자 발표 및 서류제출 안내,매입주택공급부,2025-10-27,15409,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=295340
5210,[청년형] 특화형 매입임대주택(성북구) 입주자 모집 공고(운영기관 : 사단법인 나눔과미래),매입주택공급부,2025-10-27,2731,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=295229
5209,장기안심주택 2026년 3월 재계약 대상자 입주자격 심사서류 제출 안내,맞춤주택공급부,2025-10-27,7627,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=295206
5208,은평지구 공동주택용지 3-13BL 및 단독주택용지 3-2-1(한옥지정구역) 분양 공고,분양부,2025-10-24,6849,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=295213
5207,2025년 재개발임대주택 입주자 모집공고(2025.10.24.공고),공공주택공급부,2025-10-24,262245,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=295159
5206,백악관타워 입주안내문 게시,중랑주거안심종합센터,2025-10-24,163,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=295272
5205,와이센트럴시티(상봉동100) 입주안내문 게시,중랑주거안심종합센터,2025-10-24,160,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=295270
5204,2025년 공공·주거환경임대주택 입주자 모집공고(2025. 9. 26.공고) 서류심사대상자 발표 및 서류제출 안내,공공주택공급부,2025-10-24,29033,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=295262
5203,제안서 평가위원회 결과 알림[망월천 지방하천 조성공사 물놀이터 공간제안 및 시설 제작·납품),도시조경부,2025-10-24,241,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=295266
5202,장기안심주택 2026년 2월 재계약 대상자 입주자격 심사결과,맞춤주택공급부,2025-10-24,6159,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=295155
5201,2025년 하반기 신혼·신생아 매입임대주택Ⅰ 입주대기자 모집공고(2025. 9. 30.) 최종 청약 경쟁률 게시,매입주택공급부,2025-10-23,7395,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=295224
5200,2025년 만리동 예술인 협동조합주택 잔여세대 입주자 모집공고(‘25.7.7.공고) 최종심사(조합교육 및 평가) 대상자 발표,맞춤주택공급부,2025-10-23,2576,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=295076
5199,서울주택도시개발공사 서초주거안심종합센터 휴무안내 (2025.10.28(화)),서초주거안심종합센터,2025-10-23,26,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=295186
5198,장지 공영차고지 입체화사업 기술제안입찰 사전간담회 개최 안내,입체도시설계부,2025-10-23,235,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=295183
5197,e편한세상 답십리 아르테포레 단지내 상가 중개알선 수수료 지급 선착순 수의계약 분양 공고 중지 알림,정비사업지원부,2025-10-22,742,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=295154
5196,2025년 공공·주거환경임대주택 입주자 모집공고(2025.9.26.) 최종 접수결과 및 접수마감 공지,공공주택공급부,2025-10-22,15654,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=295103
5195,백악관타워(청년안심주택) 예비1차 주택공개 안내문 게시,중랑주거안심종합센터,2025-10-22,101,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=295160
5194,상봉100(청년안심주택) 예비1차 당첨세대 주택공개 안내문 게시,중랑주거안심종합센터,2025-10-22,76,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=295158
5193,2025년 공공·주거환경임대주택 입주자 모집공고(2025.9.26.공고) 1순위 접수결과 및 2순위 접수 안내,공공주택공급부,2025-10-21,18303,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=295045
5192,[변경사항 안내] 2025년 하반기 신혼·신생아 매입임대주택Ⅰ 입주대기자 모집공고(2025. 9. 30.) 자동차가액 기준 변경,매입주택공급부,2025-10-20,8042,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=295008
5191,2025년 신정도시마을 잔여세대 입주자모집공고(25.09.17.) 서류심사대상자 발표 및 제출서류 안내,맞춤주택공급부,2025-10-20,5332,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=295039
5190,[세이지움 상봉] 예비1차 당첨자 대상 주택공개 및 사전점검 안내,중랑주거안심종합센터,2025-10-20,123,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=295029
5189,2025년 지원주택(25.07.25. 공고) 소득자산심사 소명 대상자 발표,매입주택공급부,2025-10-17,6248,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=294936
5188,2025년 1차 청년안심주택(2025. 4. 9. 공고) 예비1차 당첨자 발표,맞춤주택공급부,2025-10-17,10640,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=294945
5187,2025년 2차 장기미임대 매입임대주택 입주자 모집공고(2025.08.28.) 서류심사 대상자 발표,매입주택공급부,2025-10-17,15989,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=294886
5186,2023년 제1차 국민임대주택(2023.06.23.공고) 예비11차 당첨자 및 동호배정 결과,공공주택공급부,2025-10-17,5420,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=294942
5185,2022년 제1차 국민임대주택(2022.05.20.공고) 예비17차 당첨자 및 동호배정 결과,공공주택공급부,2025-10-17,2625,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=294940
5184,가든파이브 임대상가 임대료 자동이체 실시 안내,가든파이브관리부,2025-10-17,333,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=294928
5183,[토지지원 사회주택] 유니버설디자인하우스 수락 입주자 모집공고,공공개발금융부,2025-10-17,6899,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=291883
5182,개포(구룡마을) 도시개발구역 이주촉진 및 관리용역 입찰공고 알림,수탁보상부,2025-10-16,1218,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=294896
5181,[일반형] 특화형 매입임대주택(서대문구) 입주자 모집 공고(운영기관 : 협동조합 큰바위얼굴),매입주택공급부,2025-10-16,6816,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=294891
5180,[청년형] 특화형 매입임대주택(강동구) 입주자 모집 공고(운영기관 : 마을과집 협동조합),매입주택공급부,2025-10-16,7517,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=294771
5179,고덕강일지구 용지(상업1-1 및 주차장7) 선착순수의계약 분양 공고,분양부,2025-10-15,4174,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=294612
5178,건설사업관리용역 사업수행능력평가 위원 후보자 명단 공고,건축기술부,2025-10-15,320,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=294839
5177,"[토지지원 사회주택] 어울리 에어스페이스 신림1,2호점 입주자 모집공고",공공개발금융부,2025-10-15,4119,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=294835
5176,e편한세상 답십리 아르테포레 단지내 상가 중개알선 수수료 지급 선착순 수의계약 분양 공고,정비사업지원부,2025-10-14,838,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=294789
5175,제4차 장기전세주택2(이문 아이파크 자이) 계약 및 입주지정 기간 알림,미리내집공급부,2025-10-14,8798,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=294724
5174,씨드큐브 창동 오피스(업무시설) 선착순 수의계약 임대 공고,자산운영부,2025-10-13,819,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=294728
5173,2025년 제1차 국민임대주택 입주자 모집공고(2025.8.20.) 서류심사대상자 발표 및 서류제출 안내,공공주택공급부,2025-10-13,42853,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=294608
5172,2025년 제1차 국민임대주택 입주자 모집공고(2025.8.20.공고) 서류심사대상자 발표시간 변경 안내,공공주택공급부,2025-10-13,24269,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=294726
5171,e편한세상 답십리 아르테포레 단지내 상가 중개알선 수수료 지급 선착순 수의계약 분양 공고 중지,정비사업지원부,2025-10-10,391,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=294743
5170,2024년 제1차 국민임대주택(2024.09.26.공고) 예비3차 계약결과 게시,공공주택공급부,2025-10-10,15533,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=294600
5169,장위자이레디언트(장위4구역)_입주안내문,성북주거안심종합센터,2025-10-10,99,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=294606
5168,제3차 장기전세주택2(2024.12.20.공고) 예비 3차 입주대상자 발표,미리내집공급부,2025-10-02,26906,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=294455
5167,제2기 여성건축가 등 인력자원 명단 공고,건축설계부,2025-10-02,875,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=294456
5166,[청년형] 특화형 매입임대주택(송파구) 입주자 모집 공고(운영기관 : 협동조합 큰바위얼굴),매입주택공급부,2025-10-02,21422,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=294441
5165,2025년 신정도시마을 잔여세대 입주자모집공고(25.09.17.) 선순위 청약접수결과 및 접수마감 안내,맞춤주택공급부,2025-10-02,11438,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=294410
5164,"전산작업에 따른 서비스(휴대폰인증, 실명확인) 이용 안내",시스템운영부,2025-10-02,1610,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=294448
5163,「면목 행정문화중심 복합타운」 중간 및 실시 설계용역 변경공고 재알림,공공설계부,2025-10-01,456,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=294419
5162,"고덕강일지구 용지 분양 공고(근린생활시설용지, 주차장용지)",분양부,2025-10-01,4189,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=294311
5161,[백악관타워] 임대료. 임대보증금 상호전환 금액 안내,중랑주거안심종합센터,2025-10-01,238,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=294420
5160,2025년 하반기 신혼·신생아 매입임대주택Ⅰ 입주대기자 모집공고(2025. 9. 30.),매입주택공급부,2025-09-30,63993,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=294085
5159,2025년 제2차 반지하주택 정비를 위한 자율주택정비사업 대상지 모집 공고,모아주택사업부,2025-09-30,1632,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=294356
5158,[어울채(서울리츠1호)] 입주안내문 게시 (2025년 1차 행복주택),중랑주거안심종합센터,2025-09-30,58,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=294349
5157,2025년 빈집활용 건축디자인 공모전 개최,빈집사업부,2025-09-30,4699,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=293869
5156,(일정 변경) 2025년 신정도시마을 잔여세대 입주자모집공고(25.09.17.),맞춤주택공급부,2025-09-29,40847,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=294293
5155,2025년 SH특화형 매입임대주택 운영기관 실태평가 기준 알림,매입주택공급부,2025-09-29,1541,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=294156
5154,제2차 장기전세주택2(2024.8.30.공고) 예비 4차 입주대상자 발표,미리내집공급부,2025-09-26,15825,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=294222
5153,2025년 공공·주거환경임대주택 입주자 및 예비입주자 모집공고(2025.9.26.공고),공공주택공급부,2025-09-26,253118,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=294206
5152,제46차  장기전세주택(2024.12.26.공고) 예비 2차 입주대상자 발표(수정),미리내집공급부,2025-09-26,6856,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=294177
5151,[청년안심주택-상봉동100] 임대료.임대보증금 상호전환 금액 안내,중랑주거안심종합센터,2025-09-26,236,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=294221
5150,2024년 3차 청년안심주택(2024. 12. 23. 공고) 예비3차 당첨자 발표,맞춤주택공급부,2025-09-26,7184,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=294217
5149,장기안심주택 2026년 1월 재계약 대상자 입주자격 심사결과,맞춤주택공급부,2025-09-26,3830,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=294091
5148,은평지구 예술마을 조성 민간사업자 공모 재공고,도시계획부,2025-09-26,593,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=294284
5147,[라봄 성동] 청년안심주택 입주안내문 게시,성동주거안심종합센터,2025-09-26,89,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=294210
5146,용산 남영역 롯데캐슬 헤리티지 입주안내문 및 위임장 양식 게시,용산주거안심종합센터,2025-09-26,1478,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=294208
5145,어반허브 서울 스테이션 입주안내문 및 위임장 양식 게시,용산주거안심종합센터,2025-09-26,954,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=294207
5144,[당첨자발표] 청년 매입임대주택 입주자모집 예비자 공급 대상자 발표(2024년 2차 예비2차) 및 계약안내,매입주택공급부,2025-09-25,7337,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=294163
5143,e편한세상 답십리 아르테포레 단지내 상가 중개알선 수수료 지급 선착순 분양 공고,정비사업지원부,2025-09-24,3612,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=292220
5142,세이지움 상봉 입주 안내문 게시,중랑주거안심종합센터,2025-09-24,491,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=294106
5141,2025년 화곡동 청년협동조합주택(그랑) 공가세대(2025.4.9.공고) 최종입주대상자 발표,맞춤주택공급부,2025-09-23,1236,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=293875
5140,2025년 전세임대형 든든주택(2025.6.30.)공고 입주대상자 발표(계약안내문 첨부),전세주택공급부,2025-09-22,20227,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=294008
5139,제48차 장기전세주택 서류심사 대상자 발표 및 서류제출 안내,미리내집공급부,2025-09-22,12489,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=293796
5138,장기안심주택 2026년 2월 재계약 대상자 입주자격 심사서류 제출 안내,맞춤주택공급부,2025-09-22,4997,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=293909
5137,[토지임대부 사회주택] 사회주택 대치 입주자 모집 공고,민간개발금융부,2025-09-19,4221,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=292791
5136,2024년 재개발임대주택 예비3차 당첨자 및 동호배정결과 발표(2024.10.11.공고),공공주택공급부,2025-09-19,4525,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=293911
5135,2025년 2차 임대상가 재공급 모집공고(2025.8.27) 당첨자 및 예비당첨자 발표,자산운영부,2025-09-18,1119,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=293885
